"market","ticker","fiscal_year","quarter","period_end","published_at","net_income_ytd","profit_basis","eps_ytd","currency","eps_basis","share_basis_id","eps_comparable","point_in_time_verified","source"
"CN","000001","2025","1","2025-03-31","2025-04-20T20:00:00Z","30000000","attributable_to_parent","0.3","CNY","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"CN","000001","2025","2","2025-06-30","2025-08-20T20:00:00Z","70000000","attributable_to_parent","0.7","CNY","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"CN","000001","2025","4","2025-12-31","2026-02-20T20:00:00Z","140000000","attributable_to_parent","1.4","CNY","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"CN","000001","2026","1","2026-03-31","2026-04-20T20:00:00Z","50000000","attributable_to_parent","0.5","CNY","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"CN","000001","2026","2","2026-06-30","2026-08-20T20:00:00Z","115000000","attributable_to_parent","1.15","CNY","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"US","DEMO.A","2025","1","2025-03-31","2025-04-20T20:00:00Z","30000000","attributable_to_common","0.3","USD","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"US","DEMO.A","2025","2","2025-06-30","2025-08-20T20:00:00Z","70000000","attributable_to_common","0.7","USD","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"US","DEMO.A","2025","4","2025-12-31","2026-02-20T20:00:00Z","140000000","attributable_to_common","1.4","USD","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"US","DEMO.A","2026","1","2026-03-31","2026-04-20T20:00:00Z","50000000","attributable_to_common","0.5","USD","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
"US","DEMO.A","2026","2","2026-06-30","2026-08-20T20:00:00Z","115000000","attributable_to_common","1.15","USD","basic","synthetic-stable","true","true","SYNTHETIC fixture; not real filings"
